TraceId, total cost, ExecutionTime_TRIE_STREAMING
0,6,0
1,4,0
2,4,0
3,2,1
4,4,0
5,3,0
6,5,1
7,8,0
8,6,0
9,5,1
10,15,1
11,5,0
12,4,1
13,7,0
14,8,1
15,12,2
16,2,0
17,0,0
18,7,1
19,5,0
20,3,0
21,5,0
22,4,0
23,6,1
24,7,1
25,0,0
26,6,0
27,7,0
28,6,0
29,4,1
30,6,0
31,3,0
32,1,0
33,2,0
34,15,2
35,5,0
36,0,0
37,4,0
38,7,1
39,3,0
40,3,0
41,10,1
42,5,0
43,2,0
44,6,0
45,7,1
46,7,0
47,4,0
48,7,1
49,4,0
50,1,0
51,8,1
52,2,0
53,0,0
54,8,0
55,6,1
56,7,0
57,5,0
58,9,1
59,4,0
60,2,0
61,9,1
62,2,0
63,8,0
64,7,0
65,8,1
66,2,0
67,11,2
68,8,2
69,4,0
70,3,0
71,5,0
72,5,1
73,3,0
74,9,0
75,0,0
76,20,6
77,3,0
78,4,0
79,4,0
80,13,1
81,5,0
82,5,1
83,4,0
84,5,0
85,1,0
86,5,1
87,4,0
88,3,0
89,2,0
90,4,0
91,8,1
92,2,0
93,1,0
94,13,1
95,7,1
96,3,0
97,0,0
98,9,1
99,7,0
100,6,0
101,11,1
102,5,0
103,26,3
104,7,0
105,10,1
106,6,0
107,9,1
108,9,0
109,2,1
110,1,0
111,6,0
112,8,0
113,8,1
114,4,0
115,9,0
116,5,1
117,12,1
118,5,0
119,2,0
120,1,0
121,6,0
122,4,1
123,9,1
124,4,0
125,7,0
126,7,1
127,8,0
128,2,0
129,7,1
130,0,0
131,5,0
132,2,1
133,6,0
134,6,0
135,2,0
136,5,0
137,4,1
138,4,0
139,8,0
140,10,0
141,0,1
142,6,0
143,7,1
144,1,0
145,7,1
146,11,0
147,6,1
148,6,0
149,6,1
150,5,0
151,2,0
152,5,0
153,9,1
154,5,0
155,2,0
156,10,0
157,7,0
158,13,2
159,4,0
160,7,1
161,2,0
162,20,1
163,2,0
164,2,0
165,1,0
166,20,6
167,10,1
168,3,1
169,5,0
170,13,0
171,0,0
172,3,0
173,1,0
174,1,1
175,8,0
176,5,1
177,2,0
178,7,0
179,8,1
180,6,0
181,6,1
182,5,0
183,8,0
184,11,5
185,7,1
186,6,1
187,7,0
188,4,0
189,2,0
190,10,2
191,3,0
192,7,0
193,3,1
194,6,0
195,4,0
196,4,1
197,5,0
198,4,0
199,6,1
200,2,0
201,2,0
202,7,0
203,7,0
204,6,1
205,7,0
206,0,0
207,5,0
208,9,1
209,2,0
210,14,0
211,3,1
212,5,0
213,11,0
214,7,0
215,4,0
216,5,1
217,2,0
218,2,0
219,8,0
220,10,2
221,6,0
222,2,0
223,6,0
224,13,2
225,7,0
226,2,0
227,2,0
228,2,1
229,2,0
230,7,0
231,13,2
232,7,0
233,5,1
234,9,1
235,8,0
236,5,0
237,10,0
238,8,1
239,6,0
240,3,0
241,9,0
242,5,2
243,5,0
244,6,0
245,5,1
246,6,0
247,6,1
248,2,0
249,0,0
250,6,0
251,9,1
252,3,0
253,11,2
254,17,1
255,4,0
256,11,1
257,10,0
258,6,0
259,8,1
260,8,2
261,2,0
262,4,0
263,6,1
264,6,0
265,7,1
266,4,0
267,4,0
268,4,0
269,0,0
270,6,0
271,4,0
272,7,1
273,7,0
274,10,1
275,4,0
276,11,0
277,7,1
278,4,0
279,4,0
280,1,0
281,5,0
282,11,1
283,6,0
284,9,1
285,4,0
286,0,0
287,7,0
288,6,0
289,8,1
290,7,0
291,9,0
292,2,0
293,6,1
294,12,0
295,4,1
296,7,0
297,3,0
298,0,0
299,5,0
300,7,1
301,5,0
302,0,0
303,2,0
304,2,0
305,7,1
306,2,0
307,7,1
308,5,0
309,5,0
310,3,0
311,6,0
312,6,1
313,5,0
314,4,0
315,9,1
316,7,1
317,6,0
318,1,0
319,6,0
320,3,1
321,4,0
322,8,0
323,8,1
324,4,0
325,5,0
326,0,0
327,4,1
328,19,1
329,2,1
330,9,0
331,1,0
332,16,1
333,9,2
334,2,0
335,6,0
336,0,0
337,3,0
338,4,0
339,1,0
340,10,1
341,2,0
342,9,2
343,10,0
344,4,0
345,4,0
346,4,0
347,7,0
348,2,1
349,5,0
350,8,0
351,6,1
352,4,0
353,6,0
354,4,0
355,4,1
356,3,0
357,10,0
358,2,1
359,5,0
360,4,0
361,11,1
362,6,0
363,9,0
364,9,1
365,6,0
366,2,1
367,23,2
368,6,0
369,8,1
370,7,0
371,2,0
372,6,1
373,4,0
374,17,2
375,3,0
376,8,0
377,1,0
378,9,1
379,7,0
380,6,0
381,2,0
382,5,1
383,6,0
384,5,0
385,4,0
386,4,0
387,1,0
388,10,1
389,6,0
390,7,1
391,2,0
392,4,0
393,5,1
394,9,0
395,5,0
396,4,1
397,9,0
